Date,DateValue,Price,Open,High,Low
01-01-10,40179,1.4326,1.4328,1.433,1.4322
04-01-10,40182,1.4413,1.4325,1.4457,1.4257
05-01-10,40183,1.4369,1.4409,1.4484,1.4346
06-01-10,40184,1.4413,1.4364,1.4436,1.4282
07-01-10,40185,1.4318,1.4407,1.4447,1.4295
08-01-10,40186,1.4413,1.432,1.444,1.4263
11-01-10,40189,1.4514,1.4432,1.4558,1.4407
12-01-10,40190,1.4495,1.4514,1.4548,1.4453
13-01-10,40191,1.4512,1.4484,1.4584,1.4456
14-01-10,40192,1.4503,1.451,1.4556,1.4446
15-01-10,40193,1.4385,1.4504,1.4514,1.4338
18-01-10,40196,1.4386,1.434,1.4403,1.4334
19-01-10,40197,1.4301,1.4385,1.4415,1.4251
20-01-10,40198,1.4101,1.4291,1.4297,1.4078
21-01-10,40199,1.4091,1.4106,1.4144,1.4026
22-01-10,40200,1.4138,1.408,1.4182,1.4065
25-01-10,40203,1.4152,1.4161,1.4199,1.4128
26-01-10,40204,1.4076,1.415,1.4181,1.4042
27-01-10,40205,1.4019,1.4075,1.4098,1.3994
28-01-10,40206,1.3963,1.4021,1.4053,1.3936
29-01-10,40207,1.3864,1.3973,1.399,1.3861
01-02-10,40210,1.3929,1.3864,1.3939,1.3851
02-02-10,40211,1.3963,1.3931,1.3977,1.3887
03-02-10,40212,1.3899,1.3963,1.4026,1.3889
04-02-10,40213,1.3736,1.389,1.3905,1.3727
05-02-10,40214,1.3664,1.3729,1.3748,1.3586
08-02-10,40217,1.3653,1.3664,1.3714,1.362
09-02-10,40218,1.379,1.3651,1.384,1.3642
10-02-10,40219,1.3727,1.3792,1.3816,1.3676
11-02-10,40220,1.3682,1.3732,1.3802,1.3594
12-02-10,40221,1.3618,1.3694,1.3699,1.3532
15-02-10,40224,1.3599,1.3614,1.3636,1.3579
16-02-10,40225,1.3769,1.3596,1.3779,1.3588
17-02-10,40226,1.3606,1.3765,1.379,1.3585
18-02-10,40227,1.3617,1.3606,1.3656,1.3539
19-02-10,40228,1.3615,1.3529,1.3619,1.3443
22-02-10,40231,1.3598,1.3636,1.3653,1.3571
23-02-10,40232,1.3506,1.3592,1.3693,1.3495
24-02-10,40233,1.3531,1.351,1.3627,1.3501
25-02-10,40234,1.3556,1.3536,1.3572,1.3451
26-02-10,40235,1.3626,1.3548,1.3685,1.3531
01-03-10,40238,1.3561,1.3624,1.3657,1.3458
02-03-10,40239,1.3605,1.3557,1.3623,1.3433
03-03-10,40240,1.37,1.3616,1.3738,1.3592
04-03-10,40241,1.358,1.3695,1.3714,1.355
05-03-10,40242,1.3622,1.3581,1.363,1.3527
08-03-10,40245,1.363,1.3632,1.3706,1.3607
09-03-10,40246,1.3601,1.363,1.3636,1.3535
10-03-10,40247,1.366,1.36,1.368,1.3543
11-03-10,40248,1.3679,1.3656,1.3689,1.3618
12-03-10,40249,1.3763,1.3678,1.3798,1.3668
15-03-10,40252,1.3676,1.3777,1.3779,1.3639
16-03-10,40253,1.3772,1.3677,1.3786,1.3657
17-03-10,40254,1.3738,1.377,1.3818,1.3725
18-03-10,40255,1.3607,1.3732,1.3743,1.3583
19-03-10,40256,1.3534,1.3607,1.3629,1.3502
22-03-10,40259,1.3556,1.3525,1.3569,1.3462
23-03-10,40260,1.35,1.3563,1.3571,1.3474
24-03-10,40261,1.3314,1.3495,1.3502,1.3304
25-03-10,40262,1.3279,1.3316,1.3386,1.3266
26-03-10,40263,1.3413,1.328,1.3428,1.3268
29-03-10,40266,1.3478,1.3488,1.3508,1.3418
30-03-10,40267,1.3413,1.3479,1.354,1.3394
31-03-10,40268,1.3512,1.3415,1.355,1.3384
01-04-10,40269,1.3582,1.351,1.3592,1.3457
02-04-10,40270,1.3504,1.3584,1.3593,1.3474
05-04-10,40273,1.3486,1.3491,1.3541,1.3461
06-04-10,40274,1.3399,1.3483,1.3497,1.3354
07-04-10,40275,1.334,1.3396,1.3409,1.3323
08-04-10,40276,1.336,1.3337,1.3368,1.328
09-04-10,40277,1.3499,1.336,1.3503,1.3341
12-04-10,40280,1.3586,1.3622,1.3693,1.3563
13-04-10,40281,1.3607,1.3584,1.3627,1.3545
14-04-10,40282,1.3653,1.3617,1.3679,1.3596
15-04-10,40283,1.358,1.3653,1.3668,1.3518
